,Nflow
0,0.049530000000000046
1,0.049210000000000045
2,0.049210000000000045
3,0.049210000000000045
4,0.049210000000000045
5,0.049210000000000045
6,0.049210000000000045
7,0.049210000000000045
8,0.049210000000000045
9,0.049210000000000045
10,0.049210000000000045
11,0.049210000000000045
12,0.049210000000000045
13,0.049210000000000045
14,0.049210000000000045
15,0.049210000000000045
16,0.049210000000000045
17,0.049210000000000045
18,0.049210000000000045
19,0.049210000000000045
20,0.049210000000000045
21,0.049210000000000045
22,0.049210000000000045
23,0.049210000000000045
24,0.049210000000000045
25,0.049210000000000045
26,0.049210000000000045
27,0.049210000000000045
28,0.049210000000000045
29,0.049210000000000045
