,Nflow
0,0.24236671999999998
1,0.16044799999999995
2,0.16044799999999995
3,0.16044799999999995
4,0.16044799999999995
5,0.16044799999999995
6,0.16044799999999995
7,0.16044799999999995
8,0.16044799999999995
9,0.16044799999999995
10,0.16044799999999995
11,0.16044799999999995
12,0.16044799999999995
13,0.16044799999999995
14,0.16044799999999995
15,0.16044799999999995
16,0.16044799999999995
17,0.16044799999999995
18,0.16044799999999995
19,0.16044799999999995
20,0.16044799999999995
21,0.16044799999999995
22,0.16044799999999995
23,0.16044799999999995
24,0.16044799999999995
25,0.16044799999999995
26,0.16044799999999995
27,0.16044799999999995
28,0.16044799999999995
29,0.16044799999999995
